17834, 19025
19025, 17826
17826, 19021
19021, 17823
17823, 19049
19049, 17888
17888, 19069
19069, 17913
17913, 19077
19077, 17945
17945, 19110
19110, 17940
17940, 19090
19090, 17921
17921, 19096
19096, 17931
17931, 19084
19084, 17927
17927, 19077
19077, 17930
17930, 19096
19096, 17926
17926, 19119
19119, 17970
17970, 19164
19164, 18015
18015, 19186
19186, 18034
18034, 19207
19207, 18063
18063, 19201
19201, 18077
18077, 19226
19226, 18138
18138, 19299
19299, 18156
18156, 19309
19309, 18167
18167, 19350
19350, 18214
18214, 19365
19365, 18213
18213, 19360
19360, 18201
18201, 19358
19358, 18205
18205, 19344
19344, 18193
18193, 19338
19338, 18195
18195, 19369
19369, 18221
18221, 19370
19370, 18235
18235, 19397
19397, 18261
18261, 19411
19411, 18268
18268, 19433
19433, 18294
18294, 19432
19432, 18285
18285, 19452
19452, 18319
18319, 19518
19518, 18388
18388, 19569
19569, 18420
18420, 19576
19576, 18414
18414, 19579
19579, 18427
18427, 19603
19603, 18432
18432, 19596
19596, 18465
18465, 19616
19616, 18465
18465, 19670
19670, 18535
18535, 19713
19713, 18570
18570, 19747
19747, 18581
18581, 19737
19737, 18570
18570, 19716
19716, 18564
18564, 19748
19748, 18605
18605, 19763
19763, 18596
18596, 19766
19766, 18623
18623, 19762
19762, 18622
18622, 19789
19789, 18645
18645, 19811
19811, 18648
18648, 19787
19787, 18641
18641, 19794
19794, 18651
18651, 19831
19831, 18690
18690, 19873
19873, 18740
18740, 19930
19930, 18791
18791, 19950
19950, 18789
18789, 19953
19953, 18793
18793, 19930
19930, 18800
18800, 19952
19952, 18809
18809, 19983
19983, 18836
18836, 19998
19998, 18840
18840, 19974
19974, 18832
18832, 19997
19997, 18836
18836, 19981
19981, 18840
18840, 20009
20009, 18875
18875, 20019
20019, 18865
18865, 20023
20023, 18862
18862, 20016
20016, 18877
18877, 20014
20014, 18868
18868, 20035
20035, 18886
18886, 20037
20037, 18875
18875, 20014
20014, 18853
18853, 20045
20045, 18890
18890, 20041
20041, 18888
18888, 20007
20007, 18861
18861, 20046
20046, 18899
18899, 20040
20040, 18908
18908, 20066
20066, 18927
18927, 20067
20067, 18902
18902, 20550
20550, 19381
19381, 20499
20499, 19359
19359, 20532
20532, 19385
19385, 20571
20571, 19415
19415, 20579
20579, 19467
19467, 20619
20619, 19477
19477, 20679
20679, 19520
19520, 21049
21049, 19894
19894, 21115
21115, 19976
19976, 21464
21464, 20315
20315, 21477
21477, 20352
20352, 21487
21487, 20347
20347, 21514
21514, 20377
20377, 21540
21540, 20376
20376, 21513
21513, 20369
20369, 21522
21522, 20376
20376, 21521
21521, 20378
20378, 21520
21520, 20372
20372, 21533
21533, 20379
20379, 21578
